id,type,text1,text2,text3,text4,notes
swp_dram_luddic_path,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary trimmings and transforming it into a haphazard vehicle of holy war. A significant portion of the fuel capacity is removed in favor of a prominent central turret.

A light tanker with enough fuel capacity to more than double the effective range of a small task force or convoy.",,,,
swp_nebula_luddic_path,SHIP,"Fanatics of the Luddic Path have made this ship their own, stripping out all unnecessary trimmings and transforming it into a haphazard vehicle of holy war. A significant portion of the carrying capacity is removed in favor of a prominent central turret.

The voluminous but ungainly hull of the Huan-Gogel 430 ""Nebula"" does little to enhance the romance of interstellar travel but it does ensure a respectable passenger and cargo capacity for a ship of its class. Indeed, the Nebula has slowly come to dominate mid-tier passenger service since the muted reception of its first line of production.

The Nebula is equipped with a forward-facing shield to enhance the safety of passengers and extend the hull plating's maintenance schedule. And the Sector being what it is, several ballistic turrets and anti-missile all-band flare launchers have been mounted at fortuitous locations to assure paying passengers that their well-being is a top priority of the operator.",,,,
,,,,,,
swp_trebuchet,WEAPON,"A long-range guided missile with an unconventional gamma-pulse warhead. This launcher includes a large internal magazine of missiles.

The Trebuchet LRM is the natural answer to dealing with groups of small craft. With much of the missile's bulk taken up by its powerful vectored thrusters and deep fuel store, the Trebuchet is unsuitable for all but the largest housings. Despite its advantages, the Trebuchet is weak against many types of point defense.",,,,
swp_hornet,WEAPON,"A rack of average-yield swarming missiles designed to avoid point-defense systems and directional shields.

Hornet MRMs employ a drunken flight path intended to confuse and disrupt point defense systems, making them more viable against ships that aren't overloaded - unlike most other types of guided missile. The Hornet is highly effective against smaller craft but can't easily crack the unsoftened armor of large warships.

In order to conserve fuel, Hornets will not exhibit swarming behavior until they are within the general proximity of the target.",,,,
swp_tornado,WEAPON,"A launching system that fires volleys of four average-yield swarming missiles designed to avoid point-defense systems and directional shields.

Hornet MRMs employ a drunken flight path intended to confuse and disrupt point defense systems, making them more viable against ships that aren't overloaded - unlike most other types of guided missile. The Hornet is highly effective against smaller craft but can't easily crack the unsoftened armor of large warships.

In order to conserve fuel, Hornets will not exhibit swarming behavior until they are within the general proximity of the target.",,,,
swp_inferno,WEAPON,"These MIRVs each containin a number of swarming missiles. Designed to surround and destroy smaller targets, such as fighters and frigates.

The Inferno MIRV is essentially an armored delivery system for the cluster of 127mm ""Swarmer"" missiles held within, extending their range and durability. What it lacks in finesse it makes up for in effectiveness due to the overwhelming torrent of missiles it focuses onto each fighter. Very few fighter craft can survive the onslaught generated by even a single Inferno.",,,,
swp_lightninggun,WEAPON,"A long range tactical weapon that trades flux efficiency for unmatched accuracy. Cannot be dodged.

The T-100 Electron Discharge Cannon, or the ""Lightning Gun"" as it is more widely known, operates through poorly-understood quantum principles to near-instantaneously transmit energy to the target - usually to destructive effect. Unlike beam weapons, however, the Lightning Gun generates hard flux upon impact with shields.",,,,
swp_redeemer,WEAPON,"An integrated launcher and assembler for a unique MIRV-style LRM. The main warhead deals torpedo-grade damage, but the chassis also houses a cluster of support missiles designed to soften the target just prior to impact.

An old LRM design, the Redeemer is far too bulky to be practical as a modularized blueprint. As a result, this weapon is presently found only on the Cathedral. According to legend, the Redeemer was responsible for defeating the aggressors of an Old Earth civil war, eons ago.",,,,
swp_reliant,WEAPON,"This weapon fires a stream of high-velocity slugs. Tuned for accuracy and cheapness at the cost of almost everything else.

The Reliant Heavy Machine Gun is adapted from surface-based repeating cannons. Its name is something of a sarcastic misnomer; the Reliant is widely recognized as the weakest warship-grade weapon in use today. As a result, it is usually employed only by civilians and desperate captains with no other option to turn to.",,,,
