name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercharged Fusion Beam,sw_fusionbeam,3,0.23,255000,800,1250,,,0,7,35,,,,ENERGY,,2000,0.4,0.3,,,0,0,0,0,25000,,,,,"DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","beam20, LR,no_bp_drop,no_sell",,Superweapon,,Heavy Ray,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra %s and %s damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.
Deals %s damage.",EMP | Energy | Hard Flux,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Storm,sw_plasmastorm,3,0.14,300000,1200,,1430,,15,4,45,,,,ENERGY,1430,,0,14,12,0.1,0,0,0,0,,1000,500,4,550,"DO_NOT_CONSERVE,DO_NOT_AIM,STRIKE","missile20, strike13,no_bp_drop,no_sell",,Superweapon,,Long range,Fast,Good,,Very Good,"Highly unstable projectiles %s on impact dealing damage in a small area around themselves.
Modifiers to missile speed and maneuverability applies to this weapon at %s efficiency.",Explode | 100%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phalanx Particle Cannon,sw_phalanx,3,0.2,220000,1000,,3300,,200,5,40,,,,ENERGY,4500,,0,10,2,0.2,8,8,0,8,,1000,,2,,"DO_NOT_CONSERVE, USE_VS_FRIGATES","strike6, LR,no_bp_drop,no_sell",,Superweapon,,AoE Suppression,Very Fast,,,Average,"Creates areal shockwaves that deals %s weapon damage as energy damage to all ships, missiles and fighters in %s units around them, shockwaves can extend across the hull of nearby unshielded ships damaging their weapons and engines, Deals %s damage to stations.
%s when firing at point blank range.",100% | 350 | 30% | Cautious,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tartarus LRM Launcher,sw_tartarus,3,0.3,180000,6000,,2500,300,40,5,36,48,,,ENERGY,0,,0,20,3,1,0,0,0,0,,330,110,25,700,"DO_NOT_AIM, DO_NOT_CONSERVE","missile20, strike13, utility15,no_bp_drop,no_sell",,Superweapon,,Long range,Medium,Average,,Good,"Delivers %s on impact, dealing %s and %s of the missile damage as %s and %s damage respectively.",Electromagnetic Shockwaves | 15% | 30% | Energy | EMP,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Lens,sw_photonlense,3,0.25,225000,1150,,3200,1000,100,5,38,,,,KINETIC,4200,,0,7,,,4,4,0,0,,1500,,0.3,,"DO_NOT_CONSERVE, STRIKE","strike6, LR,no_bp_drop,no_sell",,Superweapon,,Destabilizer,Very Fast,,,Good,"%s the target:
-Hits against shields causes them to take %s more kinetic damage.
-Hits against Armor and hull causes them to take %s more kinetic damage.
Debuff lasts for %s, doesn't stack.",Destabilizes | 30% | 100% | 10 seconds,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terror MRM Battery,sw_terror,3,0.25,135000,1250,,1400,100,30,6,30,80,,,HIGH_EXPLOSIVE,,,0,15,8,0.3,0,0,0,0,,600,100,4,500,"STRIKE,DO_NOT_CONSERVE","strike4, rocket2,no_bp_drop,no_sell",,Superweapon,,Heavy strike,Fast,None,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electromagnetic Railgun,sw_railgun,3,0.23,230000,1000,,3000,,30,5,30,,,,ENERGY,3900,,0,8,,,0,1,1,1,,5000,,0.2,,,"strike16, LR,no_bp_drop,sw_railgun,no_sell",,Superweapon,,EM Pierce,Supersonic,,,Perfect,"Projectile %s all targets.
Deals %s damage every %s units across.",Pierces | 100% | 150,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XC-T61 Cluster Torpedo,sw_clustertorpedo,3,0.08,400000,1000,,5000,,350,1,50,1,,,ENERGY,,,0,12.5,,,0,0,0,0,,400,250,5,1500,"DO_NOT_CONSERVE,USE_VS_FRIGATES,FIRE_WHEN_INEFFICIENT,STRIKE","strike8, rocket3,no_bp_drop,no_sell",,Superweapon,,Superweapon,Slow,None,,,"Torpedo splits into %s identical mines that can't be targeted, they will detonate after %s in fixed intervals each dealing up to %s kinetic Damage in %s units around them, nearby objects can be damaged by multiple mines depending on their location.
Can only accommodate a %s regardless of installed hullmods, Deals %s less damage to stations.",18 | 10 Seconds |15000 | 750 | Single Torpedo | 50%,Torpedo will detonate after %s of being fired or immediately if %s by an enemy ship.,5 Seconds | Destroyed,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX Gauss Cannon,sw_gauss,3,0.23,200000,1250,,660,,25,6,30,,,,HIGH_EXPLOSIVE,1350,,0,3,,,0,6,6,3,,2000,,,,DO_NOT_CONSERVE,"LR,no_bp_drop,no_sell",,Superweapon,,Long range,Very Fast,,,Average,"Projectiles gains %s of High Explosive damage as extra %s damage for every %s units across up to %s.
Damage scales with distance reaching %s at maximum weapon range.
%s by Modifiers to projectile Speed.",10% | Kinetic | 200 | 100% | 150% | Unaffected,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devastator Lance,sw_devastator,3,0.18,300000,1100,3122.5,,,0,5,35,,,,ENERGY,,3750,1.5,0.5,1.8,20,0,0,0,0,25000,,,,,DO_NOT_CONSERVE,"energy20, beam15, LR,no_bp_drop,no_sell",,Superweapon,,EMP Suppression,,,,,"Hits on hull or armor creates powerful arcs that deals %s of damage as extra %s damage to the entire frame of the ship.
Hits on shields deals %s more damage and creates shield piercing arcs that deals %s of damage as extra %s and %s damage to the target.
Inflicts %s of damage to self while firing.",100% | EMP | 25% |35% |Energy | EMP| 15%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X9 Prism Driver,sw_prismdriver,3,0.25,245000,1000,3095.5,,,50,6,32,,,,ENERGY,,7700,0,0.7,0.3,4,0,0,0,0,25000,,,,,DO_NOT_CONSERVE,"energy20, beam15, LR,no_bp_drop,no_sell",,Superweapon,,Burst,,,,,"Pressure generated by the beam creates a discharge dealing %s of it's damage as %s damage to %s random targets in %s units around the blast.
Deals %s damage.",40% | Energy | 5 | 750 | Hard Flux,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM-70 Reflective Shield,sw_reflective_shield,3,0.18,320000,0,10,,,,,30,,,,ENERGY,,0,0,0,,,0,0,0,0,25000,,,,,DO_NOT_CONSERVE,"no_bp_drop,no_sell",,Unique Module,,Reflective Forcefield,,,,,"Reflected projectiles still applies their damage, cannot reflect projectiles that %s.
Does nothing if mounted on a %s or if shields gets disabled, doesn't Stack.",Pierce | Hardpoint,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
